,,Table B,,,,,,,,,,
5b786c0e-6802-447d-b007-66e4630d3c4d,Neo-Opsis Science Fiction Magazine,Neo-Opsis Science Fiction Mag,Print Magazine,Science Fiction Magazines,2 ratings,2 ,29,25,2,,,
543971f7-0dc5-49a0-aea1-7b78b402532a,Neo-Opsis Science Fiction Magazine,Neo-Opsis Science Fiction Mag,Print Magazine,NA,0 ratings,0 ,29,2,2,,,
7a3b56dd-96b4-40d5-822a-01ddf37eca4f,Make: magazine,Maker Media,Kindle Edition,How-to & Home Improvements eMagazines,98 ratings,98 ,11,37,3,,,
1d2341b1-359e-43b7-b3a5-3879161ef952,The Priest,Our Sunday Visitor,Kindle Edition,Religion & Spirituality eMagazines,28 ratings,28 ,18,34,3,,,
6d4701da-05cf-4691-8a86-886fe0271a37,Flamingo,Jsr Media,Print Magazine,Lifestyle & Communities Magazines,6 ratings,6 ,9,33,2,,,
ada3e66a-1aba-4cd5-b41e-230c8dffc600,Lake Ontario Outdoors,Fish Us Llc,Print Magazine,Baseball Magazines,1 rating,1,11,18,1,,,
70c461de-3abd-4825-a3dd-2e4b1ef48659,Strings,String Letter Publishers,Print Magazine,Computers & Internet Magazines,4 ratings,4 ,24,30,2,,,
afa6bb0c-2c9c-4392-bcd8-ea482950ac94,Das Neue Blatt,Heinrich Bauer Verlag,Print Magazine,Australia Travel Magazines,12 ratings,12 ,21,26,3,,,
75094597-da21-4422-84bc-e678a9d27a67,Vogue - Russian Edition,East View Information Svcs Inc,Print Magazine,Women's Fashion Magazines,1 rating,1,30,25,1,,,
373a93be-0801-4086-bf5e-927cf4a6b17b,Fort Worth Business Press,Fort Worth Business Press,Print Magazine,Southern United States Travel,0 ratings,0 ,25,29,2,,,
6245ee4c-84c6-4bd1-a550-6c77ddc39095,Gun Digest The Magazine,Caribou Media LLC,Kindle Edition,Outdoors & Nature eMagazines,106 ratings,106 ,17,28,4,,,
93a54290-dab1-4b6f-95a1-076e0ae9ed25,Robb Report,CurtCo Robb Media,Kindle Edition,Automotive & Motorcycles eMagazines,77 ratings,77 ,17,35,3,,,
79ad8af7-daf8-46b1-b1ed-4b331bd7a031,Cross Country Skier,Height of Land Publications,Print Magazine,Skiing & Snowboarding Magazines,1 rating,1,27,31,1,,,
cefadfde-908e-4672-975c-9180190e4aa6,Mpls St Paul,Msp Communications % Cir Dept,Print Magazine,History Trade Journals,0 ratings,0 ,29,22,2,,,
4fb4da65-1ada-4f3b-b3a1-7f7b2ae4e1fa,Hobby Farms,EG Media,Kindle Edition,Craft & Hobby eMagazines,444 ratings,444 ,8,24,4,,,
10d71b32-05ef-460b-94ab-811e28d49c97,Women's Running,"Pocket Outdoor Media, LLC",Kindle Edition,Women's Fitness eMagazines,51 ratings,51 ,25,26,3,,,
f7ef070e-a415-4b91-90bd-05ce1bc81042,American Craft,American Craft Council,Kindle Edition,Craft & Hobby eMagazines,61 ratings,61 ,22,24,3,,,
2935a7b0-29c7-4316-98f2-c0c0e4990c02,Iowa Outdoors,Iowa Dept of Natural Resources,Print Magazine,Chemistry Magazines,1 rating,1,30,19,1,,,
875100e6-a5cb-4ccc-b9b0-7ae820a7b801,Commonweal,Commonweal,Print Magazine,Occult Magazines,41 ratings,41 ,10,16,3,,,
b38aadeb-841d-4cf1-9d57-5e4b40167830,Cineaste,Cineaste Publishers Inc,Print Magazine,"Literary, Sci-Fi & Mystery Magazines",2 ratings,2 ,23,36,2,,,
6a0d1e8f-32c1-4ad3-b422-c9275eaf0de7,Motor Age,Endeavor Business Media - Ok,Print Magazine,Motorcycle Magazines,0 ratings,0 ,28,20,2,,,
1ce19d54-5b59-4d8a-be64-ef5b5168ec52,WellBeing,Universal Wellbeing PTY Limited,Kindle Edition,Humanities & Social Sciences eJournals,43 ratings,43 ,31,38,3,,,
3cb1aaf5-6338-4358-a347-adcc28332eb6,Phi Kappa Phi Forum,National Forum,Print Magazine,NA,0 ratings,0 ,14,2,2,,,
8e71a9bb-b7af-4906-a6f3-90ab668062c3,Insider - Inmates ed,Insider Magazine,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,16,33,2,,,
e9550b27-1383-49d0-ba4e-ce8e6e7e6c08,Gq - German Edition,Conde Nast Verlag,Print Magazine,Men's Fashion Magazines,10 ratings,10 ,17,23,3,,,
c4dc80e0-c133-4da8-a0e9-8a84469b397e,Cottage Life,Cottage Life Media Inc,Print Magazine,Advertising Magazines,5 ratings,5 ,22,21,2,,,
11aed22f-78fe-46df-86ea-b7544eaa162b,Horn Book Magazine,Library Journals Llc,Print Magazine,Education Magazines,1 rating,1,20,19,1,,,
409a3f98-c5d7-4ba6-99b8-5f854f35d3f3,Cruising World,Bonnier Corp,Kindle Edition,"Travel, City & Regional eMagazines",130 ratings,130 ,12,34,4,,,
0f9a2cba-cacd-4ad9-88be-921daaa63eb3,Simply Economics,"Econoday, Inc.",Kindle Edition,Economics eMagazines,20 ratings,20 ,14,20,3,,,
4ba34c55-444f-45d3-9939-f0aaa1649f84,Cross Country Skier - 2 Year Subscription,Height of Land Publications,Print Magazine,Skiing & Snowboarding Magazines,0 ratings,0 ,27,31,2,,,
d39d3199-23d9-4520-950f-fc155cc84462,Smart Choices for Horses,Smart Choices for Horses Llc,Print Magazine,Lifestyle & Communities Magazines,3 ratings,3 ,28,33,2,,,
be2c6d38-f3d9-4f0a-8b19-b976e35b14b8,Plus Magazin,Bayard Media Gmbh & Co Kg,Print Magazine,NA,0 ratings,0 ,25,2,2,,,
18783227-4b48-48a4-b232-9e2e91e0fd42,Engine Builder,Babcox Media Inc,Print Magazine,Motorcycle Magazines,2 ratings,2 ,16,20,2,,,
3f2d1fb8-b5f8-4020-8fe4-2b81be1c2bed,Stained Glass,Stained Glass Assn of America,Print Magazine,NA,4 ratings,4 ,29,2,2,,,
3e41e37e-2499-4555-b549-3d985e758a53,Deer and Deer Hunting Magazine,Media 360 LLC,Kindle Edition,Outdoors & Nature eMagazines,137 ratings,137 ,13,28,4,,,
ad2099c6-1eed-4510-984b-d4656d92c93a,Fly Fisherman,Outdoor Sportsman Group,Kindle Edition,Fishing eMagazines,161 ratings,161 ,23,18,4,,,
c900e84f-8c4e-43ed-96c9-5d3cb399b153,Think Realty,Personal Real Estate Investor,Print Magazine,Finance Magazines,3 ratings,3 ,29,17,2,,,
6373a061-ede5-4363-9da5-9a91774fa514,Mon Jardin Et Ma Maison,Publications Grand Public,Print Magazine,Farming Magazines,1 rating,1,25,17,1,,,
c9d8a143-961b-41b0-8995-e85e3b2bf875,History Ireland,Wordwell Ltd,Print Magazine,History Trade Journals,3 ratings,3 ,12,22,2,,,
3847572c-2d75-45d3-b84e-7652c698679d,Scale Military Modeller International,Ma Publications Limited,Print Magazine,NA,25 ratings,25 ,23,2,3,,,
7394b27c-f10e-4524-8f62-e6d1e0c3c29d,New Pioneer,Harris Publications,Print Magazine,NA,14 ratings,14 ,19,2,3,,,
31855618-7bb5-4b6f-92ad-23cbcaeb4cc9,Style At Home,TVA Publications Inc.,Kindle Edition,Interior Design eMagazines,63 ratings,63 ,21,26,3,,,
bb2acefe-5b6e-420b-bd6f-615e1bb76b4a,Eat Well,Universal Wellbeing PTY Limited,Kindle Edition,"Cooking, Food & Wine eMagazines",63 ratings,63 ,31,31,3,,,
6b6a27fd-042b-47a0-a372-e74e7cb99764,Guitar Player,Future Publishing Ltd,Kindle Edition,Music eMagazines,215 ratings,215 ,21,16,4,,,
1e36044e-645d-440f-b671-df10715eccd3,Power & Motoryacht,Active Interest Media (Cruz Bay Publishing Inc),Kindle Edition,Boating eMagazines,27 ratings,27 ,47,18,3,,,
37681da5-998e-47e7-bf63-80d520959f3b,Garden & Gun Magazine,The All‹¨«e Group,Kindle Edition,Craft & Hobby eMagazines,352 ratings,352 ,17,24,4,,,
546b59bf-a46e-4b60-bf9e-bb634fe8740a,Log and Timber Home Living,Active Interest Media (Cruz Bay Publishing Inc),Kindle Edition,Home & Garden eMagazines,97 ratings,97 ,47,24,3,,,
fbd32be9-7ae1-466c-8a8f-95cfbab4213a,RAW VISION,Raw Vision Ltd,Kindle Edition,Art & Art History eMagazines,20 ratings,20 ,14,28,3,,,
f59029ae-9f03-4684-8f18-2f4c60399fc5,Pmq Pizza Magazine,Pmq Pizza Magazine,Print Magazine,Recipes & Techniques Magazines,0 ratings,0 ,18,30,2,,,
4833b155-12e3-449e-9252-89fe80b527ce,Woodsmith,Active Interest Media (Cruz Bay Publishing Inc),Kindle Edition,How-to & Home Improvements eMagazines,212 ratings,212 ,47,37,4,,,
3f194df1-4dd3-4c8e-986e-30e225f315f1,Noseweek,Noseweek,Kindle Edition,News & Political Commentary eMagazines,19 ratings,19 ,8,38,3,,,
741d6cde-d86a-4152-b059-ac29713a0bee,Worth,Worth,Print Magazine,Career Magazines,2 ratings,2 ,5,16,2,,,
3ccf10fc-f216-4815-a749-c9af14bd4ad0,American Farriers Journal,Lessiter Publications,Print Magazine,Finance Magazines,3 ratings,3 ,21,17,2,,,
dbf1b6fb-1b28-48c0-a33a-6b68f9222ae0,Science Illustrated,Nextmedia pty ltd,Kindle Edition,"Science, History & Nature eMagazines",54 ratings,54 ,17,36,3,,,
f9c064ce-fef2-4084-8e33-5b99c39ccc44,Girls' World,"A360 Media, LLC",Kindle Edition,Children's & Teens' eMagazines,594 ratings,594 ,15,30,4,,,
2e24f7e9-51f5-4a4f-8bae-d3e8dc6887ba,Garden Answers,Bauer Consumer Media,Kindle Edition,Gardening & Horticulture eMagazines,86 ratings,86 ,20,35,3,,,
c6f63a56-56bd-4426-99ba-e436ec223bf1,The Writer,Madavor Media,Kindle Edition,News & Political Commentary eMagazines,62 ratings,62 ,13,38,3,,,
69ce29af-f74d-4013-994b-c93028753d18,Budget Travel,Elaine Alimonti,Kindle Edition,"Travel, City & Regional eMagazines",18 ratings,18 ,15,34,3,,,
9d6007a5-bfdc-4d22-a46c-c641051971df,ForbesLife,Forbes,Kindle Edition,Business & Investing eMagazines,4 ratings,4 ,6,31,2,,,
3b8aeafa-d153-4a6c-a393-1d0c648e9b68,Wild Fibers,Wild Fibers,Print Magazine,Lifestyle & Communities Magazines,9 ratings,9 ,11,33,2,,,
e221640b-761d-4092-ae68-588904c6a35b,Beanz,Owl Hill Media Llc,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,18,33,2,,,
1d8ca915-fb91-45c6-8ade-63c61acef872,Vogue - German ed,Conde Nast Verlag,Print Magazine,Farming Magazines,2 ratings,2 ,17,17,2,,,
3d107b86-5040-4508-ab2f-2037d43d22b8,Liguorian,Liguori Publications,Print Magazine,Hinduism Magazines,7 ratings,7 ,20,18,2,,,
4d48d107-72eb-4e8f-a9ad-cb5d583988d4,Teen Titans Go!,Dc Comics,Print Magazine,NA,7 ratings,7 ,9,2,2,,,
ce63fa0f-f50b-40b8-8689-f363c812c99d,Harper's Magazine,Harper's Magazine Foundation,Kindle Edition,Fashion & Style eMagazines,153 ratings,153 ,28,26,4,,,
a2b99c86-77cf-40e2-a474-e0296a6051c2,VegNews Magazine,VegNews,Kindle Edition,"Cooking, Food & Wine eMagazines",110 ratings,110 ,7,31,4,,,
1c182148-5473-4f7d-a607-912fbf3ec5fb,WatchTime Magazine,Ebner Publishing International,Kindle Edition,Professional & Trade eJournals,88 ratings,88 ,30,30,3,,,
b6f8bb86-3090-4c37-b03b-7f32d2bd9d71,Playstation Official,Future Publishing Ltd,Print Magazine,NA,99 ratings,99 ,21,2,3,,,
c29f6453-6564-43ab-92ee-259a1c5901ea,Selections Du Readers Digest - Paris French ed,Art Gallery France,Print Magazine,Lifestyle & Communities Magazines,3 ratings,3 ,18,33,2,,,
58b5ef4a-bbac-4038-85c0-b754e1bed44e,"Consumer Reports Buying Guide Used Cars, Trucks, SUVs August 2019, 284 Models",CONSUMER UNION,Print Magazine,NA,8 ratings,8 ,14,2,2,,,
d81ee144-bde3-4a8d-8b68-51ee110e487d,Swimming World Magazine,Published for the American,Print Magazine,NA,3 ratings,3 ,26,2,2,,,
6a51570b-8e08-484e-8910-2d5da2b78347,Readers Digest Australia,Reader's Digest Australia PTY LTD,Kindle Edition,Parenting & Families eMagazines,58 ratings,58 ,33,31,3,,,
cb17648d-4b76-4573-9002-0a77b63c7310,Innovation & Tech Today,Innovative Properties Worldwide,Kindle Edition,Entrepreneurship eMagazines,23 ratings,23 ,31,27,3,,,
eb7e0e18-f15c-41c0-b5be-d72a2746d821,Salt Water Sportsman,Bonnier Corp,Kindle Edition,Fishing eMagazines,117 ratings,117 ,12,18,4,,,
787f80ec-ec65-4c5c-81f2-fa95a60c96ef,"National Geographic Magazine, June 1998 (Vol. 193, No. 6)",National Geographic Society,Single Issue Magazine,NA,2 ratings,2 ,27,2,2,,,
aa0926f2-e05a-4526-9528-51b7060be66f,Explore - Canadas Outdoor Mag,My Passion Media,Print Magazine,Baseball Magazines,0 ratings,0 ,16,18,2,,,
098d0bf0-3af8-4b3b-93bd-9b11c6c4b43c,Flare,Editions Rogers Media,Print Magazine,Dating Magazines,1 rating,1,21,16,1,,,
6c297599-9f48-4252-ace5-f4c029fce986,PEOPLE EN ESPA‹¨«OL Magazine,Meredith Corporation,Kindle Edition,Spanish Language eMagazines,600 ratings,600 ,20,27,4,,,
1969d447-1c2d-4e5c-9b4f-c0ffda9f0b1c,Lapidary Journal Jewelry Artist,"Peak Media Properties, LLC",Kindle Edition,Craft & Hobby eMagazines,186 ratings,186 ,26,24,4,,,
63ddce46-6f5e-487e-8252-b60cb4d47183,Betty & Veronica Friends Comics Digest,Archie Comic Publications,Print Magazine,Magazines for 12 & Up,1 rating,1,25,21,1,,,
99c744ae-4b08-4c72-b78a-3c9775498afd,Boca Raton,Jes Publishing,Print Magazine,NA,1 rating,1,14,2,1,,,
d9c2557e-3b24-4322-89c1-6450fbbfa83c,Marie Claire - French Edition,Societe Marie Claire,Print Magazine,Beauty Magazines,4 ratings,4 ,20,16,2,,,
a393909c-ff26-46cd-96bc-793f7a47a148,Chic & Country,Atelier Press,Kindle Edition,Home & Garden eMagazines,92 ratings,92 ,13,24,3,,,
2eb78664-f232-4194-bee2-a9f81d4c0268,Hello! Magazine,Hello! Magazine Ltd.,Kindle Edition,Photography eMagazines,80 ratings,80 ,20,22,3,,,
76ad7db6-61a1-4421-93df-f754541f6f98,Domino,domino Media Group,Kindle Edition,Design & Decoration eMagazines,69 ratings,69 ,18,30,3,,,
77f3b4d4-9dfd-45e9-a7dd-a59d12b0cdcf,Wildfowl,Outdoor Sportsman Group,Kindle Edition,Hunting & Firearms eMagazines,50 ratings,50 ,23,29,3,,,
8f4c12d2-08f1-4fe8-bb72-84440161de47,Orange Page,Japan Publications Trading Co,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,29,33,2,,,
86638da5-022d-4b70-89c3-6689117f7523,Everyday Practical Electronics,Wimborne Publ Ltd/Sequoia Hse,Print Magazine,Electronics Magazines,3 ratings,3 ,29,21,2,,,
24fe4e62-bfa2-4000-8adf-be6aef0b6f64,Climbing,"Pocket Outdoor Media, LLC",Kindle Edition,Sports & Leisure eMagazines,26 ratings,26 ,25,27,3,,,
a915239c-1c20-4e98-99c2-83d498e8f51b,Old-Time Herald,Old Time Music Group Inc,Print Magazine,Graphic Design Magazines,1 rating,1,24,24,1,,,
dd2625af-62d6-43e5-8ebd-362b6e52d588,Brigitte,Gruner Und Jahr Ag & Co,Print Magazine,Women in Business Magazines,11 ratings,11 ,23,27,3,,,
266bd34a-5cd3-4dc7-8911-bf78b63beea9,Polish American Journal,Polish American Journal,Print Magazine,NA,6 ratings,6 ,23,2,2,,,
4a4d633d-4530-43e2-b29b-53c8125f9039,PlantBased,Prime Impact,Kindle Edition,"Cooking, Food & Wine eMagazines",101 ratings,101 ,12,31,4,,,
9b7b8f37-c68c-4c11-8bf6-d556572eee69,Life & Style Weekly,"A360 Media, LLC",Kindle Edition,Fashion & Style eMagazines,188 ratings,188 ,15,26,4,,,
776926c5-5838-4895-a488-8aceb7212b41,Golf Tips,iGolf Sports Network LLC,Kindle Edition,"Travel, City & Regional eMagazines",50 ratings,50 ,24,34,3,,,
96c0ea8d-0dd9-4a59-9287-67b45ff8caaa,America - the Jesuit Review of Faith and Culture,America Press Inc,Print Magazine,Occult Magazines,1 rating,1,17,16,1,,,
334f0025-576a-4bc5-8a39-7297acf86fd6,Luerzers Archive Ads Posters and TV Worldwide,Luerzers Archive USA Inc,Print Magazine,Television Magazines,0 ratings,0 ,24,20,2,,,
b19e5aaf-7bc3-419d-b246-ab083439391b,Luerzers Archive Ads Posters and TV Worldwide,Luerzers Archive USA Inc,Print Magazine,NA,0 ratings,0 ,24,2,2,,,
ca753b1b-b3ba-43e9-a185-00ad95336929,Elle Decor - Italian Edition,Hearst Magazines Italia Spa,Print Magazine,Farming Magazines,7 ratings,7 ,27,17,2,,,
d85b47a5-6198-47c0-ab43-a5b324de233c,Reportero Doc - Spanish Edition,Bayard Revistas Sa,Print Magazine,Europe Travel Magazines,1 rating,1,18,23,1,,,
8f5a568b-a3e8-42e9-a285-43d514d5ad2d,Playboy,Playboy Enterprises International Inc,Print Magazine,NA,551 ratings,551 ,37,2,4,,,
220e019b-6696-4f84-806c-2f97c2eda4cd,Blade,Caribou Media LLC,Kindle Edition,Craft & Hobby eMagazines,123 ratings,123 ,17,24,4,,,
1f519e0b-d8cb-441a-8048-0ac62f5da8e2,Piecework,Long Thread Media LLC,Kindle Edition,Knitting eMagazines,144 ratings,144 ,21,19,4,,,
076c16fa-4590-44e4-83ac-0cc4c8ca04cc,Classic Trains,Kalmbach Publishing Co.,Kindle Edition,Craft & Hobby eMagazines,44 ratings,44 ,23,24,3,,,
77a0832d-ee35-47fd-aa7f-cbd93dfd96f4,Alaska Quarterly Review,Univ Ak Anchorage / Aqr,Print Magazine,Australia Travel Magazines,1 rating,1,23,26,1,,,
a6fe8178-5e2d-49db-b881-13f0193e5145,True Detective,Forum Press,Print Magazine,Mystery Magazines,10 ratings,10 ,11,17,3,,,
6a60a46a-aa40-44cd-95da-1b67057eb1ba,Legion Magazine,Canvet Publications Ltd,Print Magazine,South America Travel Magazines,0 ratings,0 ,23,30,2,,,
c6856589-3a2c-4330-be1a-764135ef546f,Quilting Arts,"Peak Media Properties, LLC",Kindle Edition,Craft & Hobby eMagazines,158 ratings,158 ,26,24,4,,,
f2fd2a8c-43e0-4d35-8be5-512e1f900833,Current Affairs,Current Affairs,Print Magazine,Graphic Design Magazines,3 ratings,3 ,15,24,2,,,
0f857573-54fd-41fe-aec4-cca985a529fd,Bead Magazine,Ashdown Inc,Print Magazine,NA,37 ratings,37 ,11,2,3,,,
66810863-31f7-4411-b5d1-8892de413fda,J Aime Lire - France Edition,Bayard Presse,Print Magazine,Europe Travel Magazines,2 ratings,2 ,13,23,2,,,
d1eeed8f-fac0-4411-bf98-5c8311e77884,Wisconsin Lawyer,State Bar of Wisconsin,Print Magazine,South America Travel Magazines,0 ratings,0 ,22,30,2,,,
c207bcd5-7d87-4d89-99a2-5e88cb5599f9,Details,Cond‹¨« Nast Publications,Print Magazine,NA,29 ratings,29 ,25,2,3,,,
93139bf3-89ce-49a5-a412-fcfc519234c6,Bushcraft & Survival Skills Magazine,SO Publications Ltd,Kindle Edition,Outdoors & Nature eMagazines,25 ratings,25 ,19,28,3,,,
db58f097-beff-4228-b0e0-bcb54ef531fd,New Scientist,New Scientist Ltd,Kindle Edition,"Science, History & Nature eMagazines",80 ratings,80 ,17,36,3,,,
e2854e95-8925-4a1e-a631-26f6c658d96c,Lion's Roar,Shambhala Sun Foundation,Kindle Edition,Religion & Spirituality eMagazines,115 ratings,115 ,24,34,4,,,
fa3cd959-bb14-458e-b4fd-51cfc5eaba2f,Military History,HistoryNet,Kindle Edition,Humanities & Social Sciences eJournals,81 ratings,81 ,10,38,3,,,
67ce6d6c-90d1-42fd-b0d1-e33f1b76f048,Jewelry Stringing,Interweave Press,Kindle Edition,Decorating eMagazines,26 ratings,26 ,16,21,3,,,
b547a732-9740-492d-871d-4eee5f6df373,Flying,Bonnier Corp,Kindle Edition,Fishing eMagazines,372 ratings,372 ,12,18,4,,,
e80efa4c-ca96-47c3-9395-1a27d1a2fdff,Dish Magazine,"Smash Media Group, Inc.",Kindle Edition,Children's & Teens' eMagazines,5 ratings,5 ,23,30,2,,,
7524540a-3146-406f-a0db-56c7ef62c104,The Fountain,The Light Inc,Kindle Edition,Religion & Spirituality eMagazines,32 ratings,32 ,13,34,3,,,
1c0c92d0-a8ea-4f5f-8d55-d3006deb1da9,Pipers Magazine,JP Media LLC,Print Magazine,Flying Magazines,0 ratings,0 ,12,16,2,,,
4423deab-7277-40c3-ac66-738478f95516,Gilbert,Chesterton Society %Membership,Print Magazine,NA,1 rating,1,30,2,1,,,
f501c222-af9a-4a6d-bfd5-2f20c2d90e5f,Inside Business,Cleveland Magazine,Print Magazine,Lifestyle & Communities Magazines,0 ratings,0 ,18,33,2,,,
28783969-70d8-46b6-8d1f-e141b9f93e6b,Our Sunday Visitor,Our Sunday Visitor Inc,Print Magazine,Hinduism Magazines,46 ratings,46 ,22,18,3,,,
064532af-ff63-433e-a44a-4d5c258beafe,Officiel De La Couture Et De La Mode De Paris = L Officiel,Editions Jalou Sa,Print Magazine,Economics Magazines,0 ratings,0 ,17,19,2,,,
1d183724-deba-4d08-8171-67bfe97737c5,LUX & Ent,Dolphin Entertainment Company Inc.,Kindle Edition,Men's Interests eMagazines,30 ratings,30 ,34,26,3,,,
46104799-da3a-4182-83f8-b6c87b3b51ad,Tiger Beat,"Laufer Media, Inc.",Kindle Edition,"Arts, Music & Photography eMagazines",8 ratings,8 ,18,36,2,,,
03966904-9184-4be5-9ebe-b5f43a99c4ae,Just CrossStitch,Annie's Publishing,Kindle Edition,Knitting eMagazines,153 ratings,153 ,18,19,4,,,
5e647756-e5d3-4f08-86a8-7a8beb2b018d,Quilter's World,Annie's Publishing,Kindle Edition,Craft & Hobby eMagazines,110 ratings,110 ,18,24,4,,,
ec26e7c2-9051-42c7-8666-b17875a84963,Strung Magazine,Ijobot,Print Magazine,Lifestyle & Communities Magazines,1 rating,1,6,33,1,,,
1f68d89b-97ff-4311-af03-56d5359e585f,Asea Yongu,Asiatic Research Center,Print Magazine,NA,0 ratings,0 ,23,2,2,,,
f4741976-adef-47ee-b090-1673ad1c33ab,Breathe,Guild of Master Craftsmen,Kindle Edition,Health eMagazines,74 ratings,74 ,25,17,3,,,
316b4f42-db29-4ef8-8226-6e460aa44bc5,The New Yorker August 10 2015,NA,Single Issue Magazine,NA,0 ratings,0 ,2,2,2,,,
5d908f92-4297-472e-948a-1f84a4cfeba5,Garden Gate,Active Interest Media (Cruz Bay Publishing Inc),Kindle Edition,Gardening & Horticulture eMagazines,302 ratings,302 ,47,35,4,,,
94b93979-1fff-4d96-b0e9-6ad4b4b5b373,All About History,Future Publishing Ltd,Kindle Edition,"Science, History & Nature eMagazines",96 ratings,96 ,21,36,3,,,
b4a67fdc-e409-4bdb-a489-071d1596190a,Catster,Belvoir Media,Kindle Edition,Pets & Animals eMagazines,72 ratings,72 ,13,25,3,,,
eff97811-3663-436c-ba41-a299dc7f6303,Foreword Reviews,Foreword Reviews,Print Magazine,Mystery Magazines,0 ratings,0 ,16,17,2,,,
ef803ddc-acf8-4b20-9248-3e0ee01fa74a,Oregon Business,Mediamerica,Print Magazine,NA,0 ratings,0 ,11,2,2,,,
a97fdc8c-12d0-4108-8db6-deb359589bc2,Hot Hairs Now,Stanford Trident Inc,Print Magazine,NA,0 ratings,0 ,20,2,2,,,
4c7a3355-3126-4426-ab88-e50717e5180e,Historia - Sophia Publications,Sophia Publications,Print Magazine,Science & Nature Essays & Commentary Magazines,0 ratings,0 ,19,46,2,,,
e1a7fa07-2146-4d6e-80f4-bb2926098dfa,Texas Sporting Journal,Texas Sporting Journal,Print Magazine,Southern United States Travel,1 rating,1,22,29,1,,,
93669105-a140-480c-a1b7-2e68a24b402a,Cruise Industry News Quarterly,Cruise Industry News Inc,Print Magazine,Midwestern United States Travel,0 ratings,0 ,24,31,2,,,
f9a28e53-efa0-41d6-a52a-f28999c617ee,Dogster,Belvoir Media,Kindle Edition,Pets & Animals eMagazines,299 ratings,299 ,13,25,4,,,
517ca8bf-da02-4552-9aa2-a7d9692a64ad,The Dark Magazine,Prime Books,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines",152 ratings,152 ,11,37,4,,,
d956f697-130b-44d6-a7e7-01aaae42504c,BBC History Revealed Magazine,Immediate Media Company London Ltd,Kindle Edition,Professional & Trade eJournals,74 ratings,74 ,34,30,3,,,
c33d09a8-73c5-4b7c-b1d5-acbbe37b6b24,Men's Health UK,Hearst Rodale UK Ltd,Kindle Edition,Men's Fitness eMagazines,63 ratings,63 ,20,24,3,,,
86befafa-a89f-40e5-bef3-1a8af995580b,The Oxford American,The Oxford American,Kindle Edition,"Travel, City & Regional eMagazines",30 ratings,30 ,19,34,3,,,
718d7f4e-5aff-4fcf-bb60-564cb6d9478f,Luckbox,Tastytrade,Print Magazine,NA,0 ratings,0 ,10,2,2,,,
3d37936d-1c90-472e-8a70-4142f70bc11a,Simply Crochet,Future Publishing Ltd,Print Magazine,NA,119 ratings,119 ,21,2,4,,,
7f87ca56-92fd-46ab-b20f-d0afb5f374d1,Southern Travel & Lifestyles,South Shore Media,Print Magazine,Midwestern United States Travel,1 rating,1,17,31,1,,,
64c38d92-b568-48bd-afbe-b36a1390927c,Ici Paris,Hachette Filipacchi,Print Magazine,NA,0 ratings,0 ,19,2,2,,,
b1fc719c-0351-4969-928c-85d1109ef578,Jacksonville,White Publishing Co,Print Magazine,History Trade Journals,4 ratings,4 ,19,22,2,,,
7cc105bb-6c52-403b-b81e-9d2902b936b1,Building Design & Construction,Sgc Horizon Llc,Print Magazine,NA,1 rating,1,15,2,1,,,
d2504be0-4658-4299-8f06-cb0aefe0d6dc,Sacramento Magazine,Hour Media Llc,Print Magazine,Western United States Travel,2 ratings,2 ,14,28,2,,,
37f61f3b-b279-43f7-9ff6-a03b324df92e,Under The Radar,Under the Radar,Print Magazine,Humor Magazines,21 ratings,21 ,15,15,3,,,
d24d2779-2f9a-4492-92e1-30ab35012e06,The Simple Things,Iceberg Press Limited,Kindle Edition,Gardening & Horticulture eMagazines,52 ratings,52 ,21,35,3,,,
78d4267b-b44f-4479-9cdc-88fc2bd1568a,iD (Ideas & Discoveries),Heinrich Bauer Publishing,Kindle Edition,Kindle Newsstand (Kindle Store),224 ratings,224 ,25,31,4,,,
ada8f9ba-f042-4308-bca5-415f6f5b732b,Plane & Pilot,Madavor Media,Kindle Edition,Craft & Hobby eMagazines,131 ratings,131 ,13,24,4,,,
70ddbe05-1298-4243-9819-f6dbdd346813,Sante Magazine,Uni Editions,Print Magazine,NA,1 rating,1,12,2,1,,,
75ea5ce3-d231-4353-8230-8a336ac9c949,Pastel Journal,"Peak Media Properties, LLC",Kindle Edition,Art & Art History eMagazines,162 ratings,162 ,26,28,4,,,
6207823e-50e3-4711-bcaa-8d12c3552da1,Passport Magazine,Q Communications,Kindle Edition,"Travel, City & Regional eMagazines",71 ratings,71 ,16,34,3,,,
50390f5e-a17a-42f0-9654-2ff57c7cce4d,Publishers Weekly,PWxyz LLC.,Kindle Edition,"Literary, Sci-Fi & Mystery eMagazines",18 ratings,18 ,10,37,3,,,
40de7b4d-90c1-4e52-b3c7-1f1cc933df4d,Pediatrics,American Academy of Pediatrics,Kindle Edition,Medicine eJournals,3 ratings,3 ,30,18,2,,,
5a7e0e45-d99a-4e77-9ca4-ee1d11b0d761,BBC Sky at Night Magazine,Immediate Media Co/Vineyard Hs,Print Magazine,Lifestyle & Communities Magazines,55 ratings,55 ,30,33,3,,,
